"","effect","LCL","UCL","betaName","diet"
"1",-0.3082118465559,-1.68382208828347,1.40276148939667,"Shrub cover","predatory"
"2",2.5204693193734,1.54300569707859,3.55486164679698,"Shrub cover","invertebrates"
"3",1.21797796322917,-0.355381453220327,3.33954900050259,"Shrub cover","fruit"
"4",-0.171655602776208,-1.42032511754937,1.52128065514773,"Shrub cover","seeds"
"5",1.32461431939999,-0.887906979307522,8.00879037532271,"Shrub cover","nectar"
"6",-1.24295699788814,-3.35225319483049,1.00322411898749,"intercept","predatory"
"7",2.06351729973678,1.03809677240333,3.16058231400702,"intercept","invertebrates"
"8",3.14514490286992,1.135011159028,5.60741613589968,"intercept","fruit"
"9",2.37688114731762,0.712345386386851,4.5371770793643,"intercept","seeds"
"10",2.54090659499646,-0.190945362592473,8.83910471979102,"intercept","nectar"
"11",0.482363555622044,-2.11465739734433,3.09337017400439,"Pasture","predatory"
"12",-1.06711843472419,-2.40280234976524,0.321087736699382,"Pasture","invertebrates"
"13",-0.877352849807427,-3.86514471407775,2.50136168665416,"Pasture","fruit"
"14",-1.27195567241377,-3.50098285116688,1.17364438347288,"Pasture","seeds"
"15",0.265673881206865,-3.65239558023289,7.19239265103489,"Pasture","nectar"
"16",-0.750605872155433,-3.91349440557252,2.32949718957072,"Homestead","predatory"
"17",-3.64439833803119,-5.35366126506567,-1.9753450743899,"Homestead","invertebrates"
"18",1.77538741316052,-1.85122853727338,5.86237314818081,"Homestead","fruit"
"19",0.356012812810726,-2.68989750868674,3.79008676759029,"Homestead","seeds"
"20",4.3501191165912,-1.06205420676846,10.9690011713794,"Homestead","nectar"
"21",-7.73737462306317,-12.7743317828014,-3.17934321680334,"Plantation","predatory"
"22",-4.91975614274728,-6.92599031266395,-3.00941742170677,"Plantation","invertebrates"
"23",-4.91975614274728,-6.92599031266395,-3.00941742170677,"Plantation","fruit"
"24",-5.67517029832337,-9.36281175456893,-1.7423710298822,"Plantation","seeds"
"25",-5.11326828336437,-10.907640077788,-0.614684883158562,"Plantation","nectar"
